game_id,game_date,matchup,wl,pts,reb,ast,stl,blk,tov,fgm,fga,fg3m,fg3a,ftm,fta,min,season
0022401177,"Apr 11, 2025",MIA @ NOP,W,10,5,3,2,1,0,4,13,0,4,2,3,24,2024-25
0022401160,"Apr 09, 2025",MIA @ CHI,L,14,6,5,1,0,3,5,10,3,6,1,4,27,2024-25
0022401062,"Mar 27, 2025",MIA vs. ATL,W,16,5,3,1,0,3,6,15,2,6,2,2,33,2024-25
0022401047,"Mar 25, 2025",MIA vs. GSW,W,10,5,5,2,3,2,4,13,2,4,0,0,28,2024-25
0022401032,"Mar 23, 2025",MIA vs. CHA,W,42,3,5,2,1,2,16,21,6,8,4,7,35,2024-25
0022401015,"Mar 21, 2025",MIA vs. HOU,L,30,2,3,1,1,4,10,13,2,4,8,9,30,2024-25
0022400971,"Mar 15, 2025",MIA @ MEM,L,8,0,1,0,0,1,3,8,1,5,1,1,22,2024-25
0022400958,"Mar 14, 2025",MIA vs. BOS,L,23,4,3,4,0,4,9,21,3,8,2,4,37,2024-25
0022400948,"Mar 12, 2025",MIA vs. LAC,L,22,3,5,0,3,4,9,17,2,7,2,5,36,2024-25
0022400931,"Mar 10, 2025",MIA vs. CHA,L,19,7,2,0,1,3,8,17,1,5,2,2,34,2024-25
0022400916,"Mar 08, 2025",MIA vs. CHI,L,22,3,1,0,1,1,9,17,3,5,1,2,28,2024-25
0022400841,"Feb 26, 2025",MIA vs. ATL,W,15,2,6,2,0,3,3,9,1,5,8,10,29,2024-25
0022400825,"Feb 24, 2025",MIA @ ATL,L,23,4,1,0,3,3,6,14,4,9,7,7,36,2024-25
0022400817,"Feb 23, 2025",MIA @ MIL,L,20,6,4,1,1,4,7,20,1,5,5,7,40,2024-25
0022400800,"Feb 21, 2025",MIA @ TOR,W,25,8,1,2,0,3,9,19,2,6,5,6,42,2024-25
0022400778,"Feb 12, 2025",MIA @ OKC,L,13,4,3,1,1,1,4,12,1,5,4,6,34,2024-25
0022400759,"Feb 10, 2025",MIA vs. BOS,L,11,5,5,1,1,2,3,12,2,8,3,3,30,2024-25
0022400708,"Feb 03, 2025",GSW vs. ORL,W,25,2,2,0,0,1,7,14,1,5,10,15,35,2024-25
0022400685,"Jan 31, 2025",GSW vs. PHX,L,17,8,6,2,1,0,6,20,1,5,4,5,31,2024-25
0022400673,"Jan 29, 2025",GSW vs. OKC,W,27,4,2,1,1,2,10,17,5,8,2,3,38,2024-25
0022400661,"Jan 28, 2025",GSW vs. UTA,W,19,2,3,1,2,1,5,17,3,8,6,9,33,2024-25
0022400644,"Jan 25, 2025",GSW vs. LAL,L,20,6,3,1,0,2,9,15,1,6,1,1,35,2024-25
0022400628,"Jan 23, 2025",GSW vs. CHI,W,17,7,1,0,0,1,4,11,1,4,8,8,29,2024-25
0022400619,"Jan 22, 2025",GSW @ SAC,L,25,6,3,1,0,3,8,20,5,11,4,5,38,2024-25
0022400604,"Jan 20, 2025",GSW vs. BOS,L,4,3,0,1,1,1,1,11,0,4,2,2,24,2024-25
0022400589,"Jan 18, 2025",GSW vs. WAS,W,31,11,4,1,2,1,12,22,4,10,3,6,35,2024-25
0022400565,"Jan 15, 2025",GSW @ MIN,W,24,5,2,2,0,3,6,16,2,8,10,12,35,2024-25
0022400550,"Jan 13, 2025",GSW @ TOR,L,20,3,1,1,0,2,6,13,4,9,4,6,35,2024-25
0022400508,"Jan 07, 2025",GSW vs. MIA,L,9,5,1,1,1,1,4,10,1,3,0,0,25,2024-25
0022400492,"Jan 05, 2025",GSW vs. SAC,L,18,4,1,0,0,2,7,13,1,3,3,4,26,2024-25
0022400485,"Jan 04, 2025",GSW vs. MEM,W,24,2,3,4,0,2,9,17,3,10,3,3,36,2024-25
0022400467,"Jan 02, 2025",GSW vs. PHI,W,15,7,4,0,1,1,6,11,1,4,2,2,26,2024-25
0022400446,"Dec 30, 2024",GSW vs. CLE,L,11,3,2,0,2,2,5,9,1,5,0,0,27,2024-25
0022400431,"Dec 28, 2024",GSW vs. PHX,W,7,7,3,1,2,1,3,12,1,6,0,0,39,2024-25
0022400426,"Dec 27, 2024",GSW @ LAC,L,5,2,2,0,1,1,2,11,1,3,0,0,24,2024-25
0022400408,"Dec 25, 2024",GSW vs. LAL,L,21,12,3,0,1,0,8,19,3,7,2,2,35,2024-25
0022400403,"Dec 23, 2024",GSW vs. IND,L,16,4,3,0,1,2,7,16,1,7,1,1,34,2024-25
0022400383,"Dec 21, 2024",GSW @ MIN,W,9,2,2,3,2,2,3,11,1,5,2,2,29,2024-25
0022400366,"Dec 19, 2024",GSW @ MEM,L,19,1,0,0,0,1,6,11,4,5,3,3,21,2024-25
0022401228,"Dec 15, 2024",GSW vs. DAL,L,29,3,4,1,1,1,11,20,5,9,2,3,34,2024-25
0022400338,"Dec 06, 2024",GSW vs. MIN,L,11,2,0,1,0,2,3,8,1,3,4,4,19,2024-25
0022400332,"Dec 05, 2024",GSW vs. HOU,W,23,9,2,2,1,3,8,15,3,4,4,7,34,2024-25
0022400058,"Dec 03, 2024",GSW @ DEN,L,13,3,4,3,0,2,3,7,2,4,5,5,31,2024-25
0022400303,"Nov 30, 2024",GSW @ PHX,L,18,3,3,1,0,2,7,17,4,9,0,0,34,2024-25
0022400299,"Nov 27, 2024",GSW vs. OKC,L,16,5,3,1,1,1,4,16,3,8,5,7,35,2024-25
0022400284,"Nov 25, 2024",GSW vs. BKN,L,18,5,1,0,0,1,7,13,2,4,2,3,33,2024-25
0022400269,"Nov 23, 2024",GSW @ SAS,L,20,5,3,1,0,0,6,16,4,10,4,5,33,2024-25
0022400032,"Nov 22, 2024",GSW @ NOP,W,30,3,4,1,1,2,9,14,3,5,9,9,28,2024-25
0022400258,"Nov 20, 2024",GSW vs. ATL,W,27,7,4,0,2,0,12,17,3,6,0,0,30,2024-25
0022400251,"Nov 18, 2024",GSW @ LAC,L,22,3,0,0,1,1,7,12,2,4,6,8,29,2024-25
0022400019,"Nov 15, 2024",GSW vs. MEM,W,13,2,1,1,1,0,5,14,1,4,2,2,21,2024-25
0022400007,"Nov 12, 2024",GSW vs. DAL,W,8,3,4,2,1,1,3,8,0,3,2,4,34,2024-25
0022400207,"Nov 10, 2024",GSW @ OKC,W,18,8,5,3,1,0,6,14,2,4,4,6,35,2024-25
0022400188,"Nov 08, 2024",GSW @ CLE,L,11,1,2,1,0,1,4,9,1,3,2,2,21,2024-25
0022400172,"Nov 06, 2024",GSW @ BOS,W,16,2,0,0,0,2,6,14,0,3,4,6,31,2024-25
0022400155,"Nov 04, 2024",GSW @ WAS,W,5,4,2,0,2,0,1,9,0,6,3,4,18,2024-25
0022400144,"Nov 02, 2024",GSW @ HOU,W,15,3,2,1,0,2,3,9,2,4,7,10,31,2024-25
0022400101,"Oct 27, 2024",GSW vs. LAC,L,29,3,0,1,1,1,11,15,5,8,2,3,29,2024-25
0022400084,"Oct 25, 2024",GSW @ UTA,W,10,13,5,0,2,1,3,10,2,4,2,2,23,2024-25
0022400072,"Oct 23, 2024",GSW @ POR,W,20,4,2,0,0,1,8,15,4,7,0,0,23,2024-25
